Movie Titles,User Ratings,Movie Generes,Cast
Monkey Man,70,"['action', 'thriller']","['Dev Patel', 'Sikandar Kher', 'Pitobash', 'Adithi Kalkunte', 'Jatin Malik', 'Makrand Deshpande', 'Ashwini Kalsekar', 'Vipin Sharma', 'Sobhita Dhulipala']"
Tarot,67,['horror'],"['Harriet Slater', 'Adain Bradley', 'Avantika', 'Jacob Batalon', 'Humberly González', 'Wolfgang Novogratz', 'Larsen Thompson', 'Olwen Fouéré', 'Sunčica Milanović']"
15 Cameras,55,"['horror', 'thriller']","['Will Madden', 'Angela Wong Carbone', 'James Babson', 'Skyler Bible', 'Hilty Bowen', 'Shirley Chen', 'Jim Cummings', 'Courtney Dietz', 'Erik Leupp']"
"Run, Tiger Run!",76,"['animation', 'adventure', 'comedy', 'action', 'family']","['Nianci Shen', 'Dawei Liang', 'Liang Zou', 'Jianru Zhang', 'Lü Qi', 'Qimin Cao', 'Shi Chen', 'Sheng Dian', 'Sheng Dian']"
Los de la culpa,71,['comedy'],"['Henry Delgado', 'Santiago Rendón', 'Rafael Taibo', 'Ricardo Quevedo', 'Iván Marín', 'Gustavo Bernate', 'Tato Devia', 'Omar Murillo']"
No Way Up,64,"['thriller', 'horror', 'action']","['Colm Meaney', 'Phyllis Logan', 'Sophie McIntosh', 'Will Attenborough', 'Jeremias Amoore', 'Manuel Pacific', 'Grace Nettle', 'James Carroll Jordan', 'David J Biscoe']"
V de Víctor,80,['comedy'],"['Memo Villegas', 'Camila Nuñez', 'Gala Bichir', 'Adriana Montes de Oca', 'Jonathan Alonso', 'Joaquín Cosío', 'Norma Angélica', 'Danna García', 'Paco Rueda']"
Pleasure,62,['drama'],"['Sofia Kappel', 'Zelda Morrison', 'Tee Reel', 'Evelyn Claire', 'Chris Cock', 'Dana DeArmond', 'Kendra Spade', 'Mark Spiegler', 'Eva Melander']"
The Beast Within,57,"['horror', 'drama', 'thriller']","['Kit Harington', 'Ashleigh Cummings', 'James Cosmo', 'Caoilinn Springall', 'Ian Giles', 'Adam Basil', 'Martina McClements']"
Unang Tikim,10,"['romance', 'drama']","['Angeli Khang', 'Robb Guinto', 'Matthew Francisco', 'Audrey Avila', 'Susan Africa', 'Lea Bernabe']"
Dange,30,"['action', 'drama', 'thriller']","['Harshvardhan Rane', 'Ehan Bhat', 'TJ Bhanu', 'Nikita Dutta', 'Taniya Kalra', 'Zoa Morani', 'Nakul Roshan Sahdev', 'K.C. Shankar', 'Shreema Upadhyaya']"
Dune: Part Two,82,"['science', 'adventure']","['Timothée Chalamet', 'Zendaya', 'Rebecca Ferguson', 'Javier Bardem', 'Josh Brolin', 'Austin Butler', 'Florence Pugh', 'Dave Bautista', 'Christopher Walken']"
Spider-Man: No Way Home,80,"['action', 'adventure', 'science']","['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon', 'Jamie Foxx', 'Willem Dafoe', 'Alfred Molina', 'Rhys Ifans', 'Thomas Haden Church']"
John Wick: Chapter 4,77,"['action', 'thriller', 'crime']","['Keanu Reeves', 'Donnie Yen', 'Bill Skarsgård', 'Ian McShane', 'Laurence Fishburne', 'Lance Reddick', 'Clancy Brown', 'Hiroyuki Sanada', 'Rina Sawayama']"
Avengers: Age of Ultron,73,"['action', 'adventure', 'science']","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Jeremy Renner', 'James Spader', 'Samuel L. Jackson', 'Don Cheadle']"
The First Omen,69,['horror'],"['Nell Tiger Free', 'Ralph Ineson', 'Sônia Braga', 'Bill Nighy', 'María Caballero', 'Nicole Sorace', 'Tawfeek Barhom', 'Charles Dance', 'Ishtar Currie Wilson']"
The Age of Adaline,75,"['romance', 'fantasy', 'drama']","['Blake Lively', 'Michiel Huisman', 'Harrison Ford', 'Ellen Burstyn', 'Kathy Baker', 'Amanda Crew', 'Lynda Boyd', 'Hugh Ross', 'Richard Harmon']"
The Roundup: No Way Out,73,"['action', 'crime', 'comedy', 'thriller']","['Ma Dong-seok', 'Lee Jun-hyuk', 'Munetaka Aoki', 'Lee Beom-soo', 'Kim Min-jae', 'Lee Ji-hoon', 'Kim Do-gun', 'Go Gyu-pil', 'Jun Suk-ho']"
Zandalee,43,"['drama', 'romance', 'thriller']","['Nicolas Cage', 'Erika Anderson', 'Judge Reinhold', 'Joe Pantoliano', 'Viveca Lindfors', 'Steve Buscemi', 'Marisa Tomei', 'Aaron Neville', 'Ian Abercrombie']"
Dead Sea,70,"['thriller', 'horror']","['Isabel Gravitt', 'Alexander Wraith', 'Dean Cameron', 'Garrett Wareing', 'Genneya Walton', 'Koa Tom', 'Brian Silverman', 'Al Burke', 'Phoenix Volken']"
