Movie Titles,User Ratings,Movie Generes,Cast
Coraline,79,"['animation', 'family', 'fantasy']","['Dakota Fanning', 'Teri Hatcher', 'Jennifer Saunders', 'Dawn French', 'Keith David', 'Ian McShane', 'John Hodgman', 'Robert Bailey Jr.', 'Aankha Neal']"
My Spy The Eternal City,67,"['action', 'comedy']","['Dave Bautista', 'Chloe Coleman', 'Kristen Schaal', 'Ken Jeong', 'Anna Faris', 'Flula Borg', 'Taeho K', 'Billy Barratt', 'Craig Robinson']"
Shimmy: The First Monkey King,66,"['action', 'adventure', 'animation', 'comedy', 'fantasy']",[]
An Ideal Father,65,"['drama', 'tv']","['Laurent Gerra', 'Eddy Mitchell', 'Laure-Lucille Simon', 'Jérôme Kircher', 'Tess Barthélémy', 'Bérangère Bonvoisin', 'Denez Raoul', 'Alice Aliaga', 'Rufus']"
Deadpool,76,"['action', 'adventure', 'comedy']","['Ryan Reynolds', 'Morena Baccarin', 'Ed Skrein', 'T.J. Miller', 'Gina Carano', 'Leslie Uggams', 'Brianna Hildebrand', 'Stefan Kapicic', 'Karan Soni']"
The Exorcism,46,"['horror', 'thriller']","['Russell Crowe', 'Ryan Simpkins', 'Sam Worthington', 'Chloe Bailey', 'Adam Goldberg', 'Adrian Pasdar', 'David Hyde Pierce', 'Tracey Bonner', 'Marcenae Lynette']"
Alice in Terrorland,60,"['horror', 'thriller']","['Lizzy Willis', 'Rula Lenska', 'Jon-Paul Gates', 'Steve Wraith', 'Lila Sarner', 'Nigel Troup', 'Nikol Atanasova', 'Rikki Kimpton']"
xXx,59,"['action', 'adventure', 'thriller', 'crime']","['Vin Diesel', 'Asia Argento', 'Marton Csokas', 'Samuel L. Jackson', 'Michael Roof', 'Richy Müller', 'Werner Daehn', 'Petr Jákl', 'Jan Filipenský']"
3 Days in Malay,49,"['action', 'adventure', 'war']","['Louis Mandylor', 'Donald Cerrone', ""Quinton 'Rampage' Jackson"", 'Peter Dobson', 'Ryan Francis', 'Randall J. Bacon', 'Kelly Lynn Reiter']"
BLUE LOCK THE MOVIE -EPISODE NAGI-,84,"['animation', 'action', 'drama']","['Nobunaga Shimazaki', 'Yuma Uchida', 'Kazuyuki Okitsu', 'Kazuki Ura', 'Tasuku Kaito', 'Yuki Ono', 'Soma Saito', 'Koki Uchiyama', 'Hiroshi Kamiya']"
Out of Exile,63,"['thriller', 'drama', 'action', 'crime']","['Adam Hampton', 'Karrie Cox', 'Kyle Jacob Henry', 'Ryan Merriman', 'Peter Greene', 'Hayley McFarland', 'Aurelian Smith Jr.', 'Luce Rains', 'Bruce Davis']"
Under Paris,61,"['action', 'drama', 'horror', 'thriller']","['Bérénice Bejo', 'Nassim Lyes', 'Léa Léviant', 'Sandra Parfait', 'Aksel Üstün', 'Aurélia Petit', 'Marvin Dubart', 'Daouda Keita', 'Ibrahima Ba']"
MaXXXine,64,"['crime', 'horror', 'mystery', 'thriller']","['Mia Goth', 'Elizabeth Debicki', 'Moses Sumney', 'Michelle Monaghan', 'Bobby Cannavale', 'Halsey', 'Lily Collins', 'Giancarlo Esposito', 'Kevin Bacon']"
Johnny & Clyde,48,"['action', 'thriller', 'crime']","['Avan Jogia', 'Ajani Russell', 'Megan Fox', 'Tyson Ritter', 'Bai Ling', 'Vanessa Angel', 'Armen Garo', 'Robert LaSardo', 'Nick Principe']"
Stranger in the Woods,63,"['horror', 'thriller']","['Holly Kenney', 'Brendin Brown', 'Paris Nicole', 'Radek Antczak', 'Teddy Spencer', 'Devon Deshaun Stewart']"
Beverly Hills Cop: Axel F,68,"['action', 'comedy', 'crime']","['Eddie Murphy', 'Joseph Gordon-Levitt', 'Taylour Paige', 'Judge Reinhold', 'John Ashton', 'Paul Reiser', 'Bronson Pinchot', 'Kevin Bacon', 'Jameison Walker II']"
Deliver Us,56,['horror'],"['Lee Roy Kunz', 'Maria Vera Ratti', 'Alexander Siddig', 'Jaune Kimmel', 'Thomas Kretschmann', 'Jelena Rajapu', 'Anil Kapur', 'Kätlin Hallik', 'Vivek Tyagi']"
Migration,75,"['animation', 'action', 'adventure', 'comedy', 'family']","['Kumail Nanjiani', 'Elizabeth Banks', 'Caspar Jennings', 'Tresi Gazal', 'Awkwafina', 'Carol Kane', 'Keegan-Michael Key', 'Danny DeVito', 'David Mitchell']"
Underground Monster,44,"['fantasy', 'adventure']","['Wei Wei', 'Wei Lu', 'Zhang Chunzhong', 'Yue Dongfeng', 'Li Ruoxi', 'Tang Xin', 'Shuangli Zhang', 'Li Gaoji']"
Inside Out,79,"['animation', 'family', 'adventure', 'drama', 'comedy']","['Amy Poehler', 'Phyllis Smith', 'Richard Kind', 'Bill Hader', 'Lewis Black', 'Mindy Kaling', 'Kaitlyn Dias', 'Diane Lane', 'Kyle MacLachlan']"
