Movie Titles,User Ratings,Movie Generes,Cast
Deadpool & Wolverine,78,"['action', 'comedy', 'science']","['Ryan Reynolds', 'Hugh Jackman', 'Emma Corrin', 'Matthew Macfadyen', 'Dafne Keen', 'Jon Favreau', 'Morena Baccarin', 'Rob Delaney', 'Leslie Uggams']"
Twisters,71,"['action', 'adventure', 'drama', 'thriller']","['Daisy Edgar-Jones', 'Glen Powell', 'Anthony Ramos', 'Brandon Perea', 'Maura Tierney', 'Harry Hadden-Paton', 'Sasha Lane', 'Daryl McCormack', 'Kiernan Shipka']"
Inside Out 2,76,"['animation', 'family', 'adventure', 'comedy']","['Amy Poehler', 'Maya Hawke', 'Kensington Tallman', 'Liza Lapira', 'Phyllis Smith', 'Lewis Black', 'Tony Hale', 'Ayo Edebiri', 'Adèle Exarchopoulos']"
Despicable Me 4,73,"['animation', 'family', 'comedy', 'action']","['Steve Carell', 'Kristen Wiig', 'Will Ferrell', 'Sofía Vergara', 'Miranda Cosgrove', 'Dana Gaier', 'Madison Polan', 'Pierre Coffin', 'Chris Renaud']"
Bad Boys: Ride or Die,76,"['action', 'crime', 'thriller', 'comedy']","['Will Smith', 'Martin Lawrence', 'Vanessa Hudgens', 'Alexander Ludwig', 'Paola Nuñez', 'Eric Dane', 'Ioan Gruffudd', 'Jacob Scipio', 'Melanie Liburd']"
Kill,70,"['action', 'crime']","['Lakshya Lalwani', 'Raghav Juyal', 'Tanya Maniktala', 'Abhishek Chauhan', 'Ashish Vidhyarthi', 'Adrija Sinha', 'Harsh Chhaya', 'Parth Tiwari', 'Akshay Vichare']"
Dragonkeeper,72,"['action', 'adventure', 'animation', 'family', 'fantasy']","['Lucía Pérez', 'Mario Gas', 'Fernando Castro', 'Carlos de Luna', 'José Gómez Adán', 'César Díaz Capilla', 'Isabel Gaudí', 'Miquel Rodríguez Ros', 'Álvaro Navarro']"
It Ends with Us,71,"['romance', 'drama']","['Blake Lively', 'Justin Baldoni', 'Brandon Sklenar', 'Jenny Slate', 'Hasan Minhaj', 'Amy Morton', 'Kevin McKidd', 'Isabela Ferrer', 'Alex Neustaedter']"
A Quiet Place: Day One,69,"['horror', 'science', 'thriller']","[""Lupita Nyong'o"", 'Joseph Quinn', 'Alex Wolff', 'Djimon Hounsou', 'Eliane Umuhire', 'Takunda Khumalo', 'Alfie Todd', 'Avy-Berry Worrall', 'Ronnie Le Drew']"
Prey,65,"['action', 'thriller']","['Ryan Phillippe', 'Emile Hirsch', 'Mena Suvari', 'Dylan Flashner', 'Tristan Thompson', 'Michaela Sasner', 'Jeremy Tardy', 'Mohamed Hakeemshady', 'Alpha Miknas']"
Alien: Romulus,73,"['horror', 'science']","['Cailee Spaeny', 'David Jonsson', 'Archie Renaux', 'Isabela Merced', 'Spike Fearn', 'Aileen Wu', 'Rosie Ede', 'Soma Simon', 'Bence Okeke']"
Saving Bikini Bottom: The Sandy Cheeks Movie,64,"['animation', 'comedy', 'adventure', 'family']","['Carolyn Lawrence', 'Tom Kenny', 'Clancy Brown', 'Bill Fagerbakke', 'Mr. Lawrence', 'Rodger Bumpass', 'Johnny Knoxville', 'Craig Robinson', 'Grey DeLisle']"
Mayhem!,67,"['action', 'crime', 'drama']","['Nassim Lyes', 'Loryn Nounay', 'Olivier Gourmet', 'Vithaya Pansringarm', 'Mehdi Hadim', 'Kenneth Won', 'Sahajak Boonthanakit', 'Chananticha Chaipa', 'Boonsong Nakphoo']"
One Fast Move,68,"['action', 'drama', 'romance']","['K.J. Apa', 'Eric Dane', 'Maia Reficco', 'Edward James Olmos', 'Austin North', 'Jackson Hurst', 'Adam Thomas Ziemba', 'Libby Blake', 'Kevin Saunders']"
The Instigators,64,"['action', 'comedy', 'crime']","['Matt Damon', 'Casey Affleck', 'Hong Chau', 'Michael Stuhlbarg', 'Paul Walter Hauser', 'Ving Rhames', 'Alfred Molina', 'Toby Jones', 'Jack Harlow']"
Furiosa: A Mad Max Saga,76,"['action', 'adventure', 'science']","['Anya Taylor-Joy', 'Chris Hemsworth', 'Tom Burke', 'Alyla Browne', 'George Shevtsov', 'Lachy Hulme', 'John Howard', 'Angus Sampson', 'Charlee Fraser']"
Kingdom of the Planet of the Apes,72,"['science', 'adventure', 'action']","['Owen Teague', 'Freya Allan', 'Kevin Durand', 'Peter Macon', 'William H. Macy', 'Eka Darville', 'Travis Jeffery', 'Lydia Peckham', 'Neil Sandilands']"
The Garfield Movie,72,"['animation', 'comedy', 'family', 'adventure', 'action']","['Chris Pratt', 'Samuel L. Jackson', 'Hannah Waddingham', 'Ving Rhames', 'Nicholas Hoult', 'Cecily Strong', 'Harvey Guillén', 'Brett Goldstein', 'Bowen Yang']"
The Convert,63,"['action', 'drama']","['Guy Pearce', 'Tioreore Ngatai-Melbourne', 'Antonio Te Maioha', 'Jacqueline McKenzie', 'Te Kohe Tuhaka', 'Lawrence Makoare', ""Dean O'Gorman"", 'Jared Turner', 'Kelly Vivian']"
Paradox Effect,64,"['action', 'thriller']","['Olga Kurylenko', 'Harvey Keitel', 'Oliver Trevena', 'Alice Astons', 'Talia Asseraf', 'Meredith Mickelson', 'Malich Cissé', 'Lucia Zotti', 'Paul Sampson']"
